report_id,report_title,analyst,date,tlp,ioc_type,ioc_value,context,expires,threat_actors
TIR-2026-001,Glassworm: Invisible Unicode Supply Chain Attack,ir0n,2026-03-18,AMBER,domain,api.mainnet-beta.solana.com,C2 channel for second-stage payload delivery,2026-09-18,Glassworm
TIR-2026-001,Glassworm: Invisible Unicode Supply Chain Attack,ir0n,2026-03-18,WHITE,package,@aifabrix/miso-client,Malicious npm package published 2026-03-12,,Glassworm
TIR-2026-001,Glassworm: Invisible Unicode Supply Chain Attack,ir0n,2026-03-18,WHITE,package,@iflow-mcp/watercrawl-watercrawl-mcp,Malicious npm package published 2026-03-12,,Glassworm
TIR-2026-001,Glassworm: Invisible Unicode Supply Chain Attack,ir0n,2026-03-18,WHITE,filename,quartz.quartz-markdown-editor,Malicious VS Code extension published 2026-03-12,,Glassworm
TIR-2026-001,Glassworm: Invisible Unicode Supply Chain Attack,ir0n,2026-03-18,WHITE,regex,eval\(Buffer\.from\(,Decode-and-eval pattern in malicious JS — hunt behavioral indicator,,Glassworm
TIR-2026-001,Glassworm: Invisible Unicode Supply Chain Attack,ir0n,2026-03-18,WHITE,unicode-range,U+FE00-U+FE0F,Variation Selectors used as invisible payload carrier,,Glassworm
TIR-2026-002,LockBit 3.0 Accelerated Healthcare Sector Targeting,ir0n,2026-04-05,AMBER,ip,5.188.87.194,LockBit affiliate C2 infrastructure — observed in SMB fan-out campaigns,2026-07-05,LockBit 3.0
TIR-2026-002,LockBit 3.0 Accelerated Healthcare Sector Targeting,ir0n,2026-04-05,AMBER,ip,185.220.101.47,Tor exit node used by affiliates for initial access,2026-07-05,LockBit 3.0
TIR-2026-002,LockBit 3.0 Accelerated Healthcare Sector Targeting,ir0n,2026-04-05,AMBER,sha256,0e04e4f9523c8b44f3f517b82c1c50f3f70aeebfe5a57b1a4d2a6b3a0f5d6c8a,LockBit 3.0 encryptor binary — healthcare variant with intermittent encryption,2026-10-01,LockBit 3.0
TIR-2026-002,LockBit 3.0 Accelerated Healthcare Sector Targeting,ir0n,2026-04-05,AMBER,filename,svchost_updater.exe,LockBit dropper masquerading as Windows service update,2026-07-05,LockBit 3.0
TIR-2026-002,LockBit 3.0 Accelerated Healthcare Sector Targeting,ir0n,2026-04-05,WHITE,domain,lockbit3ouyhwujm.onion,LockBit 3.0 leak site — for tracking victim data publication,None,LockBit 3.0
TIR-2026-002,LockBit 3.0 Accelerated Healthcare Sector Targeting,ir0n,2026-04-05,AMBER,sha256,3f2504e04f8956d14c8a8c5a6c3b9d1e7f4a2b8c9d0e1f2a3b4c5d6e7f8091a2,StealBit exfiltration tool binary,2026-10-01,LockBit 3.0
TIR-2026-003,Insider Threat: Pre-Departure Data Exfiltration Behavioral Patterns,ir0n,2026-04-12,WHITE,domain,mega.nz,Personal cloud storage — blocked per policy; any upload from corp endpoint is suspicious,None,Malicious Insider — Departing Employee
TIR-2026-003,Insider Threat: Pre-Departure Data Exfiltration Behavioral Patterns,ir0n,2026-04-12,WHITE,domain,content.dropboxapi.com,Dropbox content upload API — monitor for high-volume transfers from non-authorized devices,None,Malicious Insider — Departing Employee
TIR-2026-003,Insider Threat: Pre-Departure Data Exfiltration Behavioral Patterns,ir0n,2026-04-12,WHITE,domain,api.dropboxapi.com,Dropbox API endpoint — bulk operations may indicate automated staging,None,Malicious Insider — Departing Employee
